States,Transitions,Result,Winner
34,15,Winner,P1
28,12,Winner,P1
34,15,Winner,P1
70,29,Winner,P1
64,25,Winner,P1
40,17,Winner,P1
28,12,Winner,P1
86,34,Winner,P1
53,22,Winner,P2
28,13,Winner,P1
28,13,Winner,P1
40,18,Winner,P1
101,42,Winner,P2
34,13,Winner,P1
34,16,Winner,P1
46,21,Winner,P1
28,11,Winner,P1
34,14,Winner,P1
28,13,Winner,P1
58,23,Winner,P1
28,12,Winner,P1
34,16,Winner,P1
58,26,Winner,P1
28,13,Winner,P1
28,12,Winner,P1
70,28,Winner,P1
82,35,Winner,P1
46,18,Winner,P1
64,26,Winner,P1
40,19,Winner,P1
34,15,Winner,P1
40,17,Winner,P1
46,19,Winner,P1
28,13,Winner,P1
46,20,Winner,P1
28,10,Winner,P1
34,15,Winner,P1
46,19,Winner,P1
46,20,Winner,P1
34,14,Winner,P1
40,17,Winner,P1
34,15,Winner,P1
52,21,Winner,P1
40,17,Winner,P1
40,17,Winner,P1
34,16,Winner,P1
34,14,Winner,P1
52,21,Winner,P1
40,19,Winner,P1
40,19,Winner,P1
